w_vec;b44_vec
0.05;-37358.25329
0.1;1107.006211
0.15;46985.19966
0.2;167152.2945
0.25;543496.0459
0.3;1121505.059
0.35;2642935.377
0.4;4501246.108
0.45;8220125.873
0.5;13593345.85
0.55;19124203.01
0.6;26805093.88
0.65;35348487.84
0.7;43192795.85
0.75;48937705.91
0.8;49744385.66
0.85;49968130.71
0.9;49103432.74
0.95;46543095.58
1;44487513.83
1.05;42199759.95
1.1;39635434.99
1.15;36989150.69
1.2;34902249.88
1.25;32803250.97
1.3;30645527.01
1.35;28608230.43
1.4;27025687.58
1.45;25589083.29
1.5;24140812.48
1.55;22610675.27
1.6;21336922.43
1.65;20319112.5
1.7;19403245.43
1.75;18413946.45
1.8;17437517.16
1.85;16596973.02
1.9;15860566.91
1.95;15214463.86
2;14628284.3
2.05;14098499.7
2.1;13633460.28
2.15;13288362.24
2.2;13002566.68
2.25;12818399.72
2.3;12740151.5
2.35;12664539.17
2.4;12598495.68
2.45;12588680.93
2.5;12591127.64
